month,lat,lon,max_temp_c
static,5.008108,35.326249,456.0000
static,5.008108,35.371164,461.0000
static,5.008108,35.416080,552.0000
static,4.963192,35.146585,459.0000
static,4.963192,35.191501,455.0000
static,4.963192,35.236417,488.0000
static,4.963192,35.281333,459.0000
static,4.963192,35.326249,455.0000
static,4.963192,35.371164,602.0000
static,4.963192,35.416080,553.0000
static,4.918276,35.011838,507.0000
static,4.918276,35.056754,585.0000
static,4.918276,35.101670,658.0000
static,4.918276,35.146585,545.0000
static,4.918276,35.191501,533.0000
static,4.918276,35.236417,489.0000
static,4.918276,35.281333,495.0000
static,4.918276,35.326249,606.0000
static,4.918276,35.371164,649.0000
static,4.918276,35.416080,590.0000
static,4.918276,35.460996,990.0000
static,4.918276,35.505912,1386.0000
static,4.918276,35.550827,1308.0000
static,4.873360,34.922007,453.0000
static,4.873360,34.966922,455.0000
static,4.873360,35.011838,487.0000
static,4.873360,35.056754,532.0000
static,4.873360,35.101670,514.0000
static,4.873360,35.146585,594.0000
static,4.873360,35.191501,554.0000
static,4.873360,35.236417,550.0000
static,4.873360,35.281333,585.0000
static,4.873360,35.326249,818.0000
static,4.873360,35.371164,701.0000
static,4.873360,35.416080,715.0000
static,4.873360,35.460996,1112.0000
static,4.873360,35.505912,1477.0000
static,4.873360,35.550827,1161.0000
static,4.828445,34.787259,453.0000
static,4.828445,34.832175,465.0000
static,4.828445,34.877091,459.0000
static,4.828445,34.922007,455.0000
static,4.828445,34.966922,454.0000
static,4.828445,35.011838,463.0000
static,4.828445,35.056754,471.0000
static,4.828445,35.101670,477.0000
static,4.828445,35.146585,703.0000
static,4.828445,35.191501,653.0000
static,4.828445,35.236417,743.0000
static,4.828445,35.281333,1003.0000
static,4.828445,35.326249,880.0000
static,4.828445,35.371164,738.0000
static,4.828445,35.416080,1024.0000
static,4.828445,35.460996,1056.0000
static,4.828445,35.505912,1359.0000
static,4.828445,35.550827,850.0000
static,4.783529,34.652512,477.0000
static,4.783529,34.697428,468.0000
static,4.783529,34.742344,457.0000
static,4.783529,34.787259,456.0000
static,4.783529,34.832175,463.0000
static,4.783529,34.877091,459.0000
static,4.783529,34.922007,456.0000
static,4.783529,34.966922,457.0000
static,4.783529,35.011838,458.0000
static,4.783529,35.056754,464.0000
static,4.783529,35.101670,478.0000
static,4.783529,35.146585,821.0000
static,4.783529,35.191501,876.0000
static,4.783529,35.236417,1029.0000
static,4.783529,35.281333,1405.0000
static,4.783529,35.326249,711.0000
static,4.783529,35.371164,668.0000
static,4.783529,35.416080,762.0000
static,4.783529,35.460996,1022.0000
static,4.783529,35.505912,1348.0000
static,4.738613,34.562681,486.0000
static,4.738613,34.607596,487.0000
static,4.738613,34.652512,483.0000
static,4.738613,34.697428,464.0000
static,4.738613,34.742344,461.0000
static,4.738613,34.787259,463.0000
static,4.738613,34.832175,460.0000
static,4.738613,34.877091,460.0000
static,4.738613,34.922007,460.0000
static,4.738613,34.966922,459.0000
static,4.738613,35.011838,463.0000
static,4.738613,35.056754,474.0000
static,4.738613,35.101670,496.0000
static,4.738613,35.146585,670.0000
static,4.738613,35.191501,956.0000
static,4.738613,35.236417,1344.0000
static,4.738613,35.281333,1233.0000
static,4.738613,35.326249,632.0000
static,4.738613,35.371164,623.0000
static,4.738613,35.416080,667.0000
static,4.738613,35.460996,834.0000
static,4.738613,35.505912,1047.0000
static,4.738613,35.550827,609.0000
static,4.693697,34.472849,494.0000
static,4.693697,34.517765,487.0000
static,4.693697,34.562681,481.0000
static,4.693697,34.607596,477.0000
static,4.693697,34.652512,468.0000
static,4.693697,34.697428,467.0000
static,4.693697,34.742344,462.0000
static,4.693697,34.787259,465.0000
static,4.693697,34.832175,461.0000
static,4.693697,34.877091,462.0000
static,4.693697,34.922007,462.0000
static,4.693697,34.966922,462.0000
static,4.693697,35.011838,465.0000
static,4.693697,35.056754,478.0000
static,4.693697,35.101670,502.0000
static,4.693697,35.146585,645.0000
static,4.693697,35.191501,877.0000
static,4.693697,35.236417,1097.0000
static,4.693697,35.281333,1207.0000
static,4.693697,35.326249,610.0000
static,4.693697,35.371164,608.0000
static,4.693697,35.416080,650.0000
static,4.693697,35.460996,743.0000
static,4.693697,35.505912,670.0000
static,4.693697,35.550827,555.0000
static,4.693697,35.730490,408.0000
static,4.693697,35.775406,398.0000
static,4.648782,34.383017,520.0000
static,4.648782,34.427933,513.0000
static,4.648782,34.472849,497.0000
static,4.648782,34.517765,489.0000
static,4.648782,34.562681,483.0000
static,4.648782,34.607596,477.0000
static,4.648782,34.652512,471.0000
static,4.648782,34.697428,468.0000
static,4.648782,34.742344,465.0000
static,4.648782,34.787259,468.0000
static,4.648782,34.832175,463.0000
static,4.648782,34.877091,463.0000
static,4.648782,34.922007,464.0000
static,4.648782,34.966922,464.0000
static,4.648782,35.011838,469.0000
static,4.648782,35.056754,477.0000
