month,lat,lon,max_temp_c,min_temp_c,mean_temp_c,dtr_c,elevation_m,ndvi,evi,veg_cover_pct,forest_pct,savanna_pct,wetland_pct,cropland_pct,urban_pct,surface_water_occurrence_pct,rain_mm,humidity_rh_pct,soil_moisture_m3m3,wind_speed_ms
2018-08,5.008108,35.326249,47.7500,20.6700,34.1558,27.0800,456.0000,0.2284,0.1171,4.7333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.8482,44.5271,0.0762,2.0085
2018-08,5.008108,35.371164,46.0300,24.7500,34.7792,21.2800,461.0000,0.2618,0.1477,10.2917,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.3654,43.3902,0.0652,2.2668
2018-08,5.008108,35.416080,43.4900,25.9700,34.2383,17.5200,552.0000,0.2617,0.1399,10.2833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.8462,43.3902,0.0652,2.2668
2018-08,4.963192,35.146585,43.9900,23.6300,32.0792,20.3600,459.0000,0.2773,0.1319,12.8917,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,48.0357,44.7244,0.1376,1.6403
2018-08,4.963192,35.191501,44.0900,23.2500,32.9167,20.8400,455.0000,0.2636,0.1358,10.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.8320,44.9647,0.1129,1.7568
2018-08,4.963192,35.236417,42.7700,22.8900,32.5258,19.8800,488.0000,0.3129,0.1847,18.8167,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,40.2693,44.9647,0.1129,1.7568
2018-08,4.963192,35.281333,43.2100,23.9100,32.2642,19.3000,459.0000,0.3431,0.1820,23.8500,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,28.4869,44.5271,0.0762,2.0085
2018-08,4.963192,35.326249,44.4900,24.2700,32.9683,20.2200,455.0000,0.2783,0.1409,13.0583,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,21.2259,44.5271,0.0762,2.0085
2018-08,4.963192,35.371164,40.5500,25.3500,32.3558,15.2000,602.0000,0.3210,0.1767,20.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.7454,43.3902,0.0652,2.2668
2018-08,4.963192,35.416080,42.4700,23.6900,32.8725,18.7800,553.0000,0.2989,0.1719,16.4833,0.0000,0.0000,0.0000,0.0000,0.0000,13.0000,32.6459,43.3902,0.0652,2.2668
2018-08,4.918276,35.011838,43.6300,22.9100,31.6725,20.7200,507.0000,0.3327,0.1768,22.1250,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,42.3318,45.9674,0.1446,1.6249
2018-08,4.918276,35.056754,42.4500,23.5500,31.2658,18.9000,585.0000,0.3083,0.1671,18.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.8923,47.0448,0.0968,1.5814
2018-08,4.918276,35.101670,41.5100,22.2100,30.9792,19.3000,658.0000,0.3092,0.1524,18.1917,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,52.4800,47.0448,0.0968,1.5814
2018-08,4.918276,35.146585,42.3100,22.4100,32.0800,19.9000,545.0000,0.3064,0.1477,17.7333,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,52.4800,47.0448,0.0968,1.5814
2018-08,4.918276,35.191501,41.5100,22.7900,31.7033,18.7200,533.0000,0.3415,0.1720,23.5750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.8437,46.9155,0.1083,1.6809
2018-08,4.918276,35.236417,41.6500,23.1700,32.2567,18.4800,489.0000,0.3504,0.1965,25.0583,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.4247,46.9155,0.1083,1.6809
2018-08,4.918276,35.281333,43.5500,24.9900,33.0467,18.5600,495.0000,0.3402,0.1704,23.3583,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.9984,45.4011,0.0890,1.9565
2018-08,4.918276,35.326249,44.0900,25.6500,33.8233,18.4400,606.0000,0.2596,0.1358,9.9333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.8543,45.4011,0.0890,1.9565
2018-08,4.918276,35.371164,41.1900,22.8900,31.8175,18.3000,649.0000,0.3104,0.1728,18.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.8133,44.1114,0.0730,2.2333
